year,month,day,dia juliano,hour,FCS,VFS,EVC,grad_temp,altura de mistura impulsionada por conveccao,boundary,obukhov,Comp_de rugosidade da superficie,Bowen,Albedo,Vel. Vento,direcao do vento,altura do anenometro,temperatura de medicao,Alt. Medicao,codigo precip,quantidade de preciptacao,umidade relativa,patm,cco,ajuste de vel do vento,cobertura de nuvens
23,1,1,1,1,-47.7,0.546,-9,-9,-999,967,306.7,0.8711,0.44,1,4.1,1,14,298.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,1,1,2,-45.5,0.52,-9,-9,-999,901,278.3,0.7678,0.44,1,4.1,358,14,298.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,1,1,3,-52,0.594,-9,-9,-999,1098,363.9,0.7678,0.44,1,4.6,354,14,298.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,1,1,4,-58.4,0.668,-9,-9,-999,1306,459,0.7678,0.44,1,5.1,343,14,298.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,1,1,5,-23.8,0.272,-9,-9,-999,556,76.3,0.7678,0.44,1,2.6,333,14,298.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,1,1,6,-44.2,0.433,-9,-9,-999,683,165.1,0.7678,0.44,1,3.6,332,14,297.1,2,0,0,94,1010,3,NAD-SFC,NoSubs
23,1,1,1,7,11.7,0.505,-9,-9,-999,859,-990.3,0.7678,0.44,0.33,3.6,325,14,297.1,2,0,0,94,1010,2,NAD-SFC,Sub_CC
23,1,1,1,8,57.4,0.465,-9,-9,-999,764,-158.1,0.7678,0.44,0.2,3.1,323,14,297.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,1,1,9,101.2,0.421,-9,-9,-999,658,-66.6,0.7678,0.44,0.16,2.6,337,14,297.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,1,1,10,137.5,0.577,-9,-9,-999,1050,-125.5,0.8711,0.44,0.15,3.6,11,14,298.1,2,0,0,89,1010,1,NAD-SFC,NoSubs
23,1,1,1,11,148,0.579,-9,-9,-999,1058,-118.3,0.8711,0.44,0.15,3.6,14,14,299.1,2,0,0,79,1010,6,NAD-SFC,NoSubs
23,1,1,1,12,162.2,0.623,-9,-9,-999,1178,-134.1,0.7678,0.44,0.15,4.1,346,14,300.1,2,0,0,74,1010,6,NAD-SFC,NoSubs
23,1,1,1,13,184.9,0.628,-9,-9,-999,1193,-120.5,0.7678,0.44,0.15,4.1,353,14,301.1,2,0,0,70,1010,3,NAD-SFC,NoSubs
23,1,1,1,14,178.9,0.627,-9,-9,-999,1190,-123.8,0.7678,0.44,0.15,4.1,359,14,301.1,2,0,0,66,1010,3,NAD-SFC,NoSubs
23,1,1,1,15,160.6,0.748,-9,-9,-999,1550,-235,0.7678,0.44,0.15,5.1,352,14,303.1,2,0,0,62,1010,1,NAD-SFC,NoSubs
23,1,1,1,16,131.5,0.771,-9,-9,-999,1623,-314,0.6323,0.44,0.15,5.7,54,14,303.1,2,0,0,66,1010,1,NAD-SFC,NoSubs
23,1,1,1,17,93,0.824,-9,-9,-999,1790,-541.5,0.6323,0.44,0.16,6.2,61,14,302.1,2,0,0,66,1010,1,NAD-SFC,NoSubs
23,1,1,1,18,49.9,0.614,-9,-9,-999,1209,-418.3,0.8711,0.44,0.22,4.1,37,14,302.1,2,0,0,70,1010,3,NAD-SFC,NoSubs
23,1,1,1,19,4.4,0.661,-9,-9,-999,1287,-5906,0.6323,0.44,0.4,5.1,74,14,302.1,2,0,0,70,1010,3,NAD-SFC,NoSubs
23,1,1,1,20,-64,0.704,-9,-9,-999,1414,490.3,0.6323,0.44,1,5.7,77,14,300.1,2,0,0,79,1010,3,NAD-SFC,NoSubs
23,1,1,1,21,-55.4,0.548,-9,-9,-999,1000,267,0.6323,0.44,1,4.6,70,14,300.1,2,0,0,74,1010,3,NAD-SFC,NoSubs
23,1,1,1,22,-48.3,0.476,-9,-9,-999,795,201,0.6323,0.44,1,4.1,62,14,299.1,2,0,0,84,1010,3,NAD-SFC,NoSubs
23,1,1,1,23,-25.3,0.291,-9,-9,-999,406,87.2,0.8711,0.44,1,2.6,10,14,299.1,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,1,1,24,-33.4,0.383,-9,-9,-999,568,151.4,0.8711,0.44,1,3.1,30,14,299.1,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,2,2,1,-33.4,0.383,-9,-9,-999,568,151.4,0.8711,0.44,1,3.1,16,14,299.1,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,2,2,2,-47.6,0.546,-9,-9,-999,968,307.9,0.8711,0.44,1,4.1,22,14,299.1,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,2,2,3,-47.6,0.546,-9,-9,-999,968,307.9,0.8711,0.44,1,4.1,2,14,299.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,2,2,4,-51.8,0.595,-9,-9,-999,1099,365.2,0.7678,0.44,1,4.6,360,14,299.1,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,2,2,5,-61,0.7,-9,-9,-999,1402,506,0.8711,0.44,1,5.1,6,14,299.1,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,2,2,6,-52,0.594,-9,-9,-999,1114,363.9,0.7678,0.44,1,4.6,357,14,298.1,2,0,0,94,1010,6,NAD-SFC,NoSubs
23,1,2,2,7,14,0.766,0.452,0.012,236,1605,-2888.3,0.9586,0.44,0.33,5.1,249,14,298.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,2,2,8,55,0.528,0.897,0.005,472,984,-240.6,0.7678,0.44,0.2,3.6,326,14,298.1,2,0,0,94,1010,6,NAD-SFC,NoSubs
