ANO,Mes,Dia,Dia Juliano,Hora,Calor sensível,velo_atrito,velo_convectiva,Gradiente temp,Altura mistura convecção,Altura mistura mec ,Monin-Obukhov,Comp_rug_sup,razão de Bowen,Albedo ,Velo_vento,Dir_vento,Alt_anemômetro,Temperatura,Alt_medição,cod_prec,Quant_prec,humidade relativa,pressao,cobertura de nuvens,ajuste,interpolacao
,2,6.18S,,4,9.88W,,UA_ID:,999,99  SF,_ID:,66666,OS_ID:,,VER,SION: 2,1112,CCVR_S,ub TEMP_,Sub,,,,,,,
23,1,1,1,1,-31.7,0.363,-9,-9,-999,524,135.4,0.2549,0.39,1,4.1,1,14,298.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,1,1,2,-29.8,0.341,-9,-9,-999,479,120,0.2055,0.39,1,4.1,358,14,298.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,1,1,3,-34.6,0.395,-9,-9,-999,596,160.8,0.2055,0.39,1,4.6,354,14,298.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,1,1,4,-39.1,0.447,-9,-9,-999,717,206,0.2055,0.39,1,5.1,343,14,298.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,1,1,5,-10.5,0.123,-9,-9,-999,282,16.1,0.2055,0.39,1,2.6,333,14,298.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,1,1,6,-27.8,0.272,-9,-9,-999,340,65.2,0.2055,0.39,1,3.6,332,14,297.1,2,0,0,94,1010,3,NAD-SFC,NoSubs
23,1,1,1,7,10.5,0.352,-9,-9,-999,500,-373.4,0.2055,0.39,0.33,3.6,325,14,297.1,2,0,0,94,1010,2,NAD-SFC,Sub_CC
23,1,1,1,8,52.1,0.331,-9,-9,-999,458,-62.9,0.2055,0.39,0.2,3.1,323,14,297.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,1,1,9,91.8,0.302,-9,-9,-999,399,-27,0.2055,0.39,0.16,2.6,337,14,297.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,1,1,10,124.9,0.416,-9,-9,-999,643,-51.7,0.2549,0.39,0.15,3.6,11,14,298.1,2,0,0,89,1010,1,NAD-SFC,NoSubs
23,1,1,1,11,134.5,0.418,-9,-9,-999,648,-48.8,0.2549,0.39,0.15,3.6,14,14,299.1,2,0,0,79,1010,6,NAD-SFC,NoSubs
23,1,1,1,12,147.5,0.444,-9,-9,-999,710,-53.5,0.2055,0.39,0.15,4.1,346,14,300.1,2,0,0,74,1010,6,NAD-SFC,NoSubs
23,1,1,1,13,168.1,0.449,-9,-9,-999,721,-48.4,0.2055,0.39,0.15,4.1,353,14,301.1,2,0,0,70,1010,3,NAD-SFC,NoSubs
23,1,1,1,14,162.8,0.448,-9,-9,-999,719,-49.6,0.2055,0.39,0.15,4.1,359,14,301.1,2,0,0,66,1010,3,NAD-SFC,NoSubs
23,1,1,1,15,146.1,0.53,-9,-9,-999,926,-91.9,0.2055,0.39,0.15,5.1,352,14,303.1,2,0,0,62,1010,1,NAD-SFC,NoSubs
23,1,1,1,16,119.8,0.631,-9,-9,-999,1200,-188.5,0.3022,0.39,0.15,5.7,54,14,303.1,2,0,0,66,1010,1,NAD-SFC,NoSubs
23,1,1,1,17,84.8,0.671,-9,-9,-999,1318,-321.5,0.3022,0.39,0.16,6.2,61,14,302.1,2,0,0,66,1010,1,NAD-SFC,NoSubs
